,2022-12-31,2021-12-31,2020-12-31,2019-12-31
TaxEffectOfUnusualItems,-1209745000.0,-786390292.294066,-4673640000.0,-931350000.0
TaxRateForCalcs,0.313,0.291904,0.34,0.35
NormalizedEBITDA,73919000000.0,47591000000.0,30736000000.0,36184000000.0
TotalUnusualItems,-3865000000.0,-2694000000.0,-13746000000.0,-2661000000.0
TotalUnusualItemsExcludingGoodwill,-3865000000.0,-2694000000.0,-13746000000.0,-2661000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,36623000000.0,19875000000.0,1141000000.0,7591000000.0
ReconciledDepreciation,13218000000.0,11695000000.0,11445000000.0,14836000000.0
ReconciledCostOfRevenue,47162000000.0,31555000000.0,17839000000.0,31054000000.0
EBITDA,70054000000.0,44897000000.0,16990000000.0,33523000000.0
EBIT,56836000000.0,33202000000.0,5545000000.0,18687000000.0
NetInterestIncome,-2827000000.0,-4644000000.0,-5655000000.0,-6314000000.0
InterestExpense,3311000000.0,4977000000.0,5771000000.0,6684000000.0
InterestIncome,673000000.0,,79000000.0,5000000.0
NormalizedIncome,39278255000.0,21782609707.705933,10213360000.0,9320650000.0
NetIncomeFromContinuingAndDiscontinuedOperation,36623000000.0,19875000000.0,1141000000.0,10151000000.0
TotalExpenses,68901000000.0,51575000000.0,37171000000.0,56567000000.0
TotalOperatingIncomeAsReported,57114000000.0,,,20614000000.0
DilutedAverageShares,13044201261.0,13044201261.0,13044201261.0,13044201261.0
BasicAverageShares,13044201261.0,13044201261.0,13044201261.0,13044201261.0
DilutedEPS,2.81,1.52,0.09,0.78
BasicEPS,2.81,1.52,0.09,0.78
DilutedNIAvailtoComStockholders,36623000000.0,19875000000.0,1141000000.0,10151000000.0
NetIncomeCommonStockholders,36623000000.0,19875000000.0,1141000000.0,10151000000.0
NetIncome,36623000000.0,19875000000.0,1141000000.0,10151000000.0
MinorityInterests,-132000000.0,-111000000.0,193000000.0,-212000000.0
NetIncomeIncludingNoncontrollingInterests,36755000000.0,19986000000.0,948000000.0,10363000000.0
NetIncomeDiscontinuousOperations,,0.0,,2560000000.0
NetIncomeContinuousOperations,36755000000.0,19986000000.0,948000000.0,7803000000.0
TaxProvision,16770000000.0,8239000000.0,-1174000000.0,4200000000.0
PretaxIncome,53525000000.0,28225000000.0,-226000000.0,12003000000.0
OtherIncomeExpense,779000000.0,478000000.0,-11083000000.0,-1705000000.0
OtherNonOperatingIncomeExpenses,4393000000.0,1565000000.0,3322000000.0,803000000.0
SpecialIncomeCharges,-2510000000.0,3707000000.0,-9463000000.0,159000000.0
GainOnSaleOfPPE,1144000000.0,1941000000.0,499000000.0,6046000000.0
GainOnSaleOfBusiness,,-41000000.0,-43000000.0,
OtherSpecialCharges,2339000000.0,1394000000.0,1563000000.0,2841000000.0
WriteOff,151000000.0,-1941000000.0,-499000000.0,-6046000000.0
ImpairmentOfCapitalAssets,1315000000.0,-3190000000.0,7339000000.0,2848000000.0
RestructuringAndMergernAcquisition,,-11000000.0,1017000000.0,198000000.0
EarningsFromEquityInterest,251000000.0,1607000000.0,-659000000.0,153000000.0
GainOnSaleOfSecurity,-1355000000.0,-6401000000.0,-4283000000.0,-2820000000.0
NetNonOperatingInterestIncomeExpense,-2827000000.0,-4644000000.0,-5655000000.0,-6314000000.0
TotalOtherFinanceCost,-484000000.0,-333000000.0,-37000000.0,-365000000.0
InterestExpenseNonOperating,3311000000.0,4977000000.0,5771000000.0,6684000000.0
InterestIncomeNonOperating,673000000.0,,79000000.0,5000000.0
OperatingIncome,55573000000.0,32391000000.0,16512000000.0,20022000000.0
OperatingExpense,9415000000.0,8411000000.0,7976000000.0,10835000000.0
OtherOperatingExpenses,894000000.0,662000000.0,1145000000.0,1024000000.0
OtherTaxes,371000000.0,-155000000.0,952000000.0,619000000.0
ProvisionForDoubtfulAccounts,58000000.0,,-2000000.0,
DepreciationAmortizationDepletionIncomeStatement,894000000.0,86000000.0,89000000.0,158000000.0
ResearchAndDevelopment,792000000.0,563000000.0,355000000.0,576000000.0
SellingGeneralAndAdministration,6406000000.0,7255000000.0,5435000000.0,8458000000.0
SellingAndMarketingExpense,3987000000.0,4229000000.0,4884000000.0,4476000000.0
GeneralAndAdministrativeExpense,2419000000.0,3026000000.0,551000000.0,3982000000.0
OtherGandA,362000000.0,256000000.0,252000000.0,539000000.0
SalariesAndWages,2057000000.0,2770000000.0,299000000.0,3443000000.0
GrossProfit,64988000000.0,40802000000.0,24488000000.0,30857000000.0
CostOfRevenue,59486000000.0,43164000000.0,29195000000.0,45732000000.0
TotalRevenue,124474000000.0,83966000000.0,53683000000.0,76589000000.0
OperatingRevenue,124474000000.0,83966000000.0,53683000000.0,76589000000.0
